"","p_cntrl4224","p_cncr8407","p_cntrl6764","p_cncr3273","p_cntrl1262","p_cncr8861","p_cncr5984","p_cncr8964","p_cncr7142","p_cncr1466","p_cntrl8055","p_cncr5423","p_cncr4352","p_cncr5461","p_cntrl4503","p_cncr5996","p_cntrl6350","p_cntrl2055","p_cncr9392","p_cncr2497","p_cntrl3871","p_cntrl9527","p_cncr8117","p_cntrl3797","p_cncr2900","p_cncr4395","p_cncr2896","p_cncr3688","p_cncr3488","p_cncr5857"
"11101110110000010101",231285,431484,24027,703000,9468,75146,2563,326978,41227,122596,213478853,346239,86033,159730,21706,85206,710263,849,113859,2858,446942,13321,74357,22508,15310,10641,467503,9491,198499,148576
"10111011011011100001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00111111001101010100",323265,11328,278304,246552,3099,13664,63949,86277,326989,2054730,9074,1428581,11088,3501188,217005,100155,221677,2703082,1000339,17222,1342,5720,189481,5178829,2752,27830,20415,26405,89271,121265
"10111100001110110111",90748,48813,375563,504859,202057,12576,2221,364469,572561,2577459,7837,473252,23755,354891,907,125794,790128,211976,199750,474,79,2616,3747252,302531,3845,72324,566375,39327,442026,3075130
"00011000111101111100",172935,127797,18907,78423,30844,203093,52818,198206,64806,53368,2783,61288,20848,117306,259374,1417513,32989,6934,245148,37290,25395,67094,8199,88707,33818,32937,4057,573080,1865666,27218
"01100011101010111011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10001111001011011110",467385,6066,152048,338042,1834737,201344,151682,1943,453160,190105,88989,1588420,6513,228906,80131,144659,479279,216619,85632,30679,30447,3702,230893,8672902,924,103945,5300,146092,1995,2745988
"00101010001001100010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10100111101100101101",469273,19314,166766,198378,1375,100616,425080,91346,3448,190471,345861,24282,28885,46816,3663344,192380,46048,310937,15044,117313,30617,96684,8525,179279,1100853,1237036,917,20551,1058547,4439
"01100000111101011100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11011101101011001011",1173563,793929,3627,1008994,316221,63858,629366,242870,51170,7912,152277,23599,3186407,36350,25475,61393,5542032,31441,679,7206528,720171,55695,1183606,117910,236719,15195457,48583,393688,3555,428134
"11110011110000010011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01110011110001000001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11101110110101101000",740391,45973636,2019,353462,846,39421,764500,2312,170029,210566,415729,2014,223740,13450,8801793,49242,30439,3023,3963,116787,8763779,16068,345,232302,19836,43023,2533,1266569,5315,16440
"10110011111100010100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10001011100100001111",9,6707,6336,1595,328311,981,63382,93,842,252003,461,193,519,227,16666,963237,21326,2155,191647,24846,782,38763,6,10624,29194437,273286,0,1540,1969,9426
"10110111111110100000",653813,53598,54940,6202380,9103,29862,71027,194304,4897,44579,231449,544312,3534847,35242,1397892,24481,22122,585024,59751,55635,2091,381,76397,946615,1742582,8273,4594,343931,794491,130923
"01110110111010100001",753797,194939,815,596826,6105,1586823,406,2666695,252,2590,3982078,15185,5655598,49045,180761,212,114928,10454,19194,783290,21683,2845,529356,95119,1118231,31457,266068,807250,1176929,57806
"10000110111000000011",31345,103416,5399,7423073,270338,125046,70306,207445,1567,32174,9205581,298191,217822,1917,2168,4405,311019,59863,349367,32310,335017,364243,14463,107487,3139691,534141,6140,24711,344304,36800
"10011110111000101000",1110367,3365605,2283,3339861,15212,781590,43251,172914,500,101875,1998924,38296,430991,3870,699635,21130,157074,715,37522,250459,144378,1255,1060,40404,479292,30338,608,1101437,380785,149308
"00011010110110111110",8807,198907,9547,6005,141316,200190,2283,2789,423845,518994,33734,23854,47906,4374,29035,532193,168188,200,696631,66611,3935,4179,6623,744188,464243,5123,50,18583552,1839385,129694
"01101001000000010010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11001110110101010011",23794,10152898,13932,240177,34151,44580,91885,7879,358036,594262,5261357,49461,463263,4143,2578,25977,1769942,7243,297930,20564,2841506,259743,11786,386602,293756,96956,14695,108505,2468,20912
"01000000010001000100",19837,6249,73322,153857,801534,6672,203816,53224,22475,29598,6920,614138,87248,668933,129038,42184,29241,186766,219004,15325,1994932,9980586,6084,19863,928,12770,92627,16139,392047,58699
"00000101011110000001",2245,2866,12371172,386213,37382,13916,1610,45531,16097,689213,9412,71374,729589,5227,50699,1034,204732,5144917,292742,312139,53596,2713674,411198,237569,9271301,456908,46348,7067,623186,4794
"00111101100001001010",527,50914,171,70186,6742,911,83499,5292,15730,16675,262,159,15146,20681,85541,248674,3231,5306,20614,106661,26988,9743,4655,4074,91424,86713,6,19798,1276,26775
"10011011000011100101",1756,105,1076,30385,38826153,26605,1283,2245,84,139761,65,3153,24264,163094,77236,469549,10858,23335,13245,34235,118,168,571,21886,134889,62,99,2893,668,2950406
"10001011101101111111",25489,14071,36898,13100,401189,1145643,406315,30753,25353,92012,30310,42209,7086,51214,174713,6767486,514395,199236,41502,104688,46775,31875,5115,2322200,220537,632269,714,53095,34375,89170
"00000010101000000101",96574,435,5937,135054,136909,77004,76402,222479,175,18384,213775,54053,25017,147190,11072,37901,1208070,122548,52536,28917,27423,1547727,3051,117831,1891467,605786,44429,1988,8555011,19940
"00010000010101101100",33071,70244,69155,63442,77996,25323,239214,7704,162662,1097474,158,61987,42399,113902,744076,260699,3315,37239,533407,137059,100666,2031021,1903,30013,14882,6438,221,557685,2413517,11192
"01010000010110100111",692,37752,180978,8872,2124492,15589,1493,108020,40675,368468,1172,77822,610239,11533,5485,13995,96342,34352,754095,119161,5318,1432754,71234,29225,195221,28176,4945,1066544,3397989,69796
"00001010101001000100",827420,1133,591,495006,575427,16265,986407,64877,4902,21709,18557,64301,12084,597093,49430,596883,1114156,150143,6033,19672,195891,364068,622,1168044,22248,173920,31948,21223,350829,168805
"11011101110101101010",37473,25097739,39709,261801,28824,14326,2249275,100806,292323,268355,38348,30609,6232358,3060,1231949,804551,89173,10780,18337,1868648,9516791,214516,7963,31356,93493,196979,50,10132829,16641,25954
"01001001010001010100",2674,2684,1795693,25409,553102,42469,9902,243405,56490,63761,29139,1688058,105295,1591028,435140,602351,214700,228556,360112,23845,1911807,313130,67251,58447,570,3826,150128,6757,104690,277428
"11010110010101110100",805915,872410,332328,245760,32525,75672,165286,21366,21282,1603543,210268,5370183,497713,286551,230744,13757,15606,28104,6650930,2652,17390,22299,9571,88560,1615,186,3680,458539,48718,61153
"10101110101100001000",734535,2648467,11812,978968,245,3703,2476531,1509,36041,456995,186215,4616,10139,13576,280359,21099,653042,26495,11883,9440,36573,8798,427,669082,337185,4470542,13737,12924,53441,27268
"01011100001111111011",56970,3199374,66780,6069,16098,703104,3464,19390,95871,382065,2299,1982,274386,31203,14895,899,1788275,28837,65332,469870,14138,38217,990432,461201,33345,1284144,97182,1224313,5263,73579
"01001101101000010000",35536,17909,2118931,53447,1713,36929,34024,2817742,357,14233,1486566,103098,1710998,201941,191578,18443,11204069,221005,37291,13602,516562,94228,170068,38956,88283,832548,711970,2129,236529,40812
"00110000101000001011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01111010010000101001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00001100001000011111",5716,26766,550150,31339,51477,185627,1938,96355,66639,944350,81269,43930,1842,35139,2092,18018,1983014,17611,651495,16432,64381,1483296,294687,46331,11556,4051977,29149,10666,454932,54713
"00101000110101101001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000000111100101100",15133,13669,148994,49650,22353,31046,159093,72146,2950,27204,3163,21455,16887,7712,871885,154882,8763,38926,179729,25697,67269,3636370,509,25720,538614,400449,797,126035,25138715,2189
"00111100110111101100",3499052,443213,2116,1277550,9435,4277,38797,18509,24246997,758010,4674,5691,182751,98415,526270,1575409,13242,1820,2475,205538,401794,166843,81296,132638,12875,13305,1173,19771191,908967,27440
"01101101011011110011",3411,17576,155729,88460,270689,2655499,62,3322633,76492,8417,88520,71903,500776,281280,173464,6289,156696,1604417,32360,251733,535897,7908,41164838,777047,1722,50058,2321824,132523,11296,794121
"11011001001010111001",25239,66906,1376748,7642,111744,5470497,1359,311091,149,19272,42149,41930,975943,412636,494143,14193,5635152,41287,18000,294150,2805,103,584737,34972,89625,104756,2540445,3843,40552,4738814
"01111101101010111110",219237,48589,66914,20366,10914,216708,4783,4531495,35918,3853,217404,93478,268282,428501,451300,185638,427812,10368,14471,110175,9183,1559,8257134,104310,2649,475366,25124,2439437,694926,655605
"01011111011011111111",43775,94606,28670,15218,857997,42409632,93,358983,30851,43137,261144,157335,162740,30843,345433,5446,112023,8204,326096,18365797,59866,4254,2766916,924251,11222,25105,1490,25337525,12443,301637
"10010010111011000111",982192,6261,104,12302252,80103680,101658,204517,133491,40001,3302,135114,2907171,107948,83190,773,188708,99609,48729,82389,110126,8153,44585,98021,766504,256682,45145,16466,383203,276060,1321046
"00101101101000111101",95703,3242,393249,43941,1262,1103104,1292,7306912,7287,51235,815117,11852,29667,617325,1155234,900931,432716,44846,7130,73220,284663,64473,1312598,25725,39350,583358,63064,7691,4642158,25112
"01011001010011100011",809,24744,16338,30752,11981714,421935,630,801475,32587,51610,2990,26614,8383723,72439,80626,86383,607372,152918,11278,10351765,1103266,55193,633829,128913,51427,11660,21668,885095,50826,1431921
"11011010110001100001",264721,1248521,189,512760,518557,804553,42521,429284,777,31259,885385,20618,5505941,82290,129572,156120,847165,2352,4910,649322,1940592,7102,1668,32757,267292,3105,35103,165867,49110,487584
"10001100011001111001",126975,388561,157405,1056806,67167,7148225,2535,113285,11063,254048,223809,39666,47911,76152,177093,17719,111581,29351,68673,34237,1713114,25126,119030,34026,6795,27618,312095,9431,17991,164462
"00000110100110101001",870,16369,2438,1554,1413,21669,1291,18,43,240234,1195,1,40410,232,93316,453,6403,589,28310,41562,1419,39648,66,8967,242632141,17446,5,14396,4700,328
"10000111000101100000",516,2286,91852,31852,36904,1973,292819,97,42,865002,85,1824,44182,12141,1256699,9658,830,1144473,300840,1602,2161,9114,19,31668,289834,379,5,767,178,9203
"11110011001111001010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01111110001101011001",281595,17036431,14797,16171,72,554053,11991,6225,52490,561982,57929,3109,16962,231087,121617,212,998874,24190,328583,458554,8497,4255,84664,908890,35967,1334896,373132,33555,3477,17387
"10100101101001111111",621011,4919,55635,654659,47304,900467,419079,2457486,65040,5564,547498,388526,28308,1957728,228270,2873672,29791,770769,16422,16649,423248,129996,4742743,76959,2668,586104,28642,13782,261110,93303
"10100000110011100100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10111111011101010001",64960,422585,194293,3115297,7429,200832,7107,116489,168036,1426914,210523,1233324,76650,241989,83271,19699,166992,1216213,1538899,85431,7277,656,427484,1753831,90261,15844,137598,5583,10579,209641
"01011100100001110101",9342,12462,1117,7897,32674,23959,708,286908,64,26572,5590,436,115097,162688,9554,62805,25657,326,47836,2729,5587,38385,7575,185,35500,896,1347,6834,5574,16425
"00101101101100110110",6828,2833,1573013,52534,6196,6098,32094,3792886,115441,207581,24235,181923,30617,187635,105606,2792347,299325,1788560,112566,1189,18011,147959,290791,399039,10838,468360,6872,46174,4033272,43621
"10010100011011000000",3781545,45480,26347,103076447,1072452,11413,248821,51330,35872,54558,18101,3990865,1083959,315444,13586,3958,51086,508004,99194,12580,29661,27203,390637,126541,8435,9335,501371,41051,59125,1098869
"01011001001000010100",7407,2652,4014239,11242,91731,36785,11447,4092865,489,35051,14480,3046861,100147,2609344,103608,74827,3356352,348063,887941,13356,1872,11411,133716,32971,3801,88850,597623,2034,1091724,1016051
"10000100110010111000",610579,116637,302991,864012,12833,341618,18499,9787,14718,54731,3913155,70243,1993280,43308,220044,50019,70579,1653,34100,2415,821741,12797,164546,12437,87583,2396,32511,52829,608308,92859
"11111000101111100011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00111101101111110001",791448,12468,57935,343119,2594,115378,4483,1600543,119297,127898,16572,10910,2380595,1715660,100834,248011,1364129,1241186,2704,115768,15676,5947,14676283,997794,312111,79868,899994,35205,221798,86364
"10110010101001010001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10001011100011000111",446,81,162,54403,91626330,1936,27086,628,1865,12002,726,2024,6524,15271,3018,2631370,36701,18983,5775,13075,2709,8038,448,76052,795035,6194,44,2341,311,695618
"10111000110110011111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01111001100110111011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00001111101100111010",3909,122321,463078,3917,982,568244,36819,22983,4215,415669,143604,4856,82446,2639,708680,41539,1130753,80230,218586,130170,82866,22469,5763,1897280,1598513,1149611,78,341449,147483,7040
"11110111111100010001",79696,1329894,375723,543441,321,172716,23747,1079240,1522,21576,19422466,1289398,1435532,53938,131818,2177,191342,152602,2823398,56231,3737,1558,399047,102167,3467105,126001,162252,6063,176723,15290
"11111000001011100011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101101111000101011",1293,525381,26716,45515,5938,1115153,1035,11347881,4822,4305,785119,2035,349678,3331,1707881,20699,132668,27058,7501,6847626,9618412,176200,254979,21404,240745,8215494,6688,481533,380244,15281
"11011000000110101011",12,722398,7011,474,411820,3322,2026,102,206,184526,8,21,18804,488,6944,2943,33954,658,86458,17145,39,851,107,1572,1479459,53638,140,9680,281,240018
"11111111001110110111",35622,79201,697560,29585,95240,127302,1538,401784,30521,558963,106417,734959,114693,177809,38086,20656,1183796,336269,306382,21704,99,209,1550522,1736643,12448,66501,71041,195831,33491,2216913
"01001100100000000000",347,31272,5268,13846,4895,203,11645,5851,20,24450,3760,76,98077,3828,20238,3036,88405,1127,23583,1101,33231,135077,73,302,430948,40587,918,709,3478,7164
"00110001111011011110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10101101100100101101",393,9833,55113,16562,3463,631,11025,4794,1514,507069,697,62,3415,4432,630623,1782426,2484,4258,7394,4807,4342,35337,241,524,1130017,50742,13,858,12446,3659
"00010000100010100000",956,435,848,16843,148833,2486,5042,5367,5,4200,84,230,386993,40813,19223,18779,8378,4164,25066,1150,128,2188,539,909,2659188,509,444,1976,131733,102040
"00010110111000001110",161284,198589,1866,929706,47736,102464,105489,133078,12546,30242,837790,430267,30167,2792,22784,9535,26451,1749,2230975,399499,45899,452943,10618,75981,334087,497300,26,6372103,4614963,10888
"10010001100000010010",34,1294,34582,27154,218133,1585,134898,16727,28,3573,2180,68845,83526,53259,2447,316060,16154,34515,3674074,129,86,687,3044,799,889430,2498,146,53,17503,325939
"01110010111100011001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00100001001001001111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01010010100110001111",130,47765,281,224,73637,2094,10383,47,293,14029,233,54,5524,404,2388,1652,11217,121,605258,97016,23,39910,89,6781,42863346,215712,3,82884,5329,3244
"01000011111001110000",26959,3972,40253,23388,44727,11405102,30250,1235779,30,269,746968,305195,1602395,396365,7429803,14050,53330,788805,203166,130378,588292,7671,19276,477250,83890,5419,57153,32267,129806,45679
"11010101011001101111",67666,197137,107302,556469,1630260,1075338,84233,4495694,7173,19281,57556,1653036,323841,41037,510611,35542,8449,156593,251196,3594386,488541,555268,449442,10145,4844,271785,961,1291047,72592,90816
"01011001011110011010",153,583394,2991279,2616,54563,94525,2108,15017,55802,40249,2100,121750,118687,4949,83519,3049,533628,54641,4143524,527495,1611,2729,183192,494116,231644,845562,16018,275757,49031,254354
"11010000001110101111",25088,170513,156491,12283,1046318,37329,140135,24167,4967,69122,576,56668,53160,23263,15144,9549,239348,61657,121784,63678,279,81474,24943,47472,82988,2431573,22834,182397,269487,307999
"10001110000101110000",948,33539,31489,16703,18840,5531,16205,39,233,3292164,296,726,5936,18961,62509,8473,7287,26859,682497,47,586,562,22,40973,28747,107,152,571,57,55805
"01001100101111000100",4138611,24846,27411,424776,60815,256,1136826,29649,202992,75153,4215,20392,223304,114975,26770,51189,1741732,156060,1444,13448,189925,7231477,18348,511007,18306,2211786,281674,265143,52289,20376
"01000001101111010110",30108,617,457209,12825,458677,4317,1792538,66103,70414,1650,2786,843811,155713,603484,22568,251276,436738,6283059,113499,6441,11179,1038073,380578,1911248,25510,1238042,137106,34326,112248,59550
"11101001000110111101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11001100010010001011",4612,4291650,101333,230647,441584,36076,2952,3559,270438,519945,369915,10212,308794,1254,7652,2604,1320761,1308,24772,290951,2909885,230874,81509,19222,62612,695555,40779,159842,8583,307819
"01001000010100110100",502,42267,7474244,2432,48807,19132,1576,72475,12607,1116178,6351,108342,54935,71406,192660,91453,194198,25475,1597054,1112,49787,242038,2325,23424,4440,3424,50096,23840,1370812,56907
"00000001100100101111",2,415,43466,209,84797,3487,14753,2617,134,43285,28,52,3463,749,84360,509702,1544,17334,213103,32236,2123,2125915,92,991,21791728,194351,0,3060,113881,590
"01111101001010101110",44045,42303,110114,28276,75509,51335,4880,1134702,40625,35868,4834,60622,100792,181929,1160801,29456,171584,74573,11908,717989,9085,6187,1211350,133493,765,848226,7516,3678617,295390,1217908
"00101110010010001101",54948,54608,12115,253177,30266,107553,107,1886,1349670,2636140,440903,5618,6988,21631,97045,9000,127966,976,27187,562102,340303,65835,72676,243908,46184,32705,8926,241476,299144,77118
"11111001010000110000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000101000110000010",5,528,868219,6147,78844,49,10417,84,1825,559234,12,940,36662,1077,8101,2000,6421,666055,1065568,1728,348,226639,1731,20708,2099002,29279,13,1462,2581,7178
"00000011101011111111",91356,178,7112,7334,1178549,20137916,17865,57249,5014,1889,80648,36741,41432,340730,194998,332914,176167,214601,19627,703129,56298,42494,472391,3265316,206739,150580,3132,198157,221786,104034
"10100100010101010111",16541,77292,474029,2426777,112412,3595,86876,20583,29357512,2367274,59423,3012451,7840,326040,1313,244319,14412,644146,3763105,351,114839,2336688,930098,112278,1231,24070,77588,5249,119893,49979
"01010101110101111000",100559,1912557,668787,21635,231,310993,159673,126161,19753,71536,169543,36922,13089471,56236,6858711,37216,25419,17335,311786,794029,2626991,273025,126507,16776,241351,16472,630,937329,196630,1047
"10110000100100100101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00011001010001000101",5603,1770,66593,481382,3196054,29439,4926,1053505,151081,855590,4546,456865,202873,542570,47101,2728444,272740,172891,79707,1576775,959411,1566532,113524,27990,42027,8510,8789,17529,1265670,204814
"11001010110110001111",6847,1381829,6441,22631,951514,11940,42854,498,443686,190820,207835,7936,30991,451,9199,116557,897239,320,33381,292895,128338,210542,734,263010,2084277,1013913,986,1052579,41473,67837
"00101110100111001000",10039,88433,86,24653,889,438,36418,2,34024,131972,182,4,2505,4365,143762,5525,4349,1317,4711,12108,3789,3674,73,191742,863804,27667,53,21243,118,4564
"11101100010111100011",13428,1953214,27468,627751,380197,7293,9094,15784,4234056,907614,8705,10033,506490,23903,24173,23814,129993,181697,5932,29468,1067315,115724,176971,311330,3788,51927,267414,343902,3584,408618
"11111100001011010001",4740791,401391,22003,2653593,33956,70485,10573,261920,57934,38795,153913,242908,400020,9341717,5178,3005,3791494,162959,11179,5768,6112,552,14105313,162833,870,82613,520292627,2159,3747,6932590
"00100011111000111001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00101111010001101000",23358,96383,18945,174170,5273,1030910,5046,12904,107896,717678,74586,5954,94804,96745,60254016,59006,13369,79824,13442,3052516,22154517,12228,10919,642786,5453,4147,398,464021,32780,55354
"01000011001101001100",29272,9944,342518,3195,20137,36641,4109467,1613,3063,41378,863,65494,7864,135914,7369264,7597,59183,2357015,252159,759837,37880,933297,456,1542577,38016,2007152,1682,32685,25547,5849
"01100111110110101101",52507,69429,116563,10880,1328,185156,2120,19728,49816,104533,946483,2845,578973,7198,10067499,16414,18959,7064,13669,4543261,561110,297216,59594,145800,2268053,91411,418,2461729,788306,1125
"10101000011000100110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10010101010001101001",120349,181570,186513,1941665,68654,1030200,48893,192161,13929,727662,91949,122731,3533097,101050,1599446,92714,19984,83591,47098,3405293,6163874,198936,210621,5858,99937,6414,1124,59513,137544,42617
"10111010001011010010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11100101001010101000",279202,36136,1443504,167016,6761,106323,107791,68481,832,7203,46018,55552,561233,459491,17500568,2306,69735,1175003,3503,45834,49344,2089,275178,69163,3322,353470,597286,11363,41506,525123
"00011000001110110011",941,19330,276293,7787,295227,152171,448,98453,10753,779469,458,14159,133680,55085,840,12986,7072439,297277,347618,10927,186,6736,337606,609165,446901,149422,335103,19917,622877,853412
"11001101001100011111",2219,299327,36991457,9291,25596,23258,55699,54712,59070,1128115,64161,230145,10181,11344,26631,34730,2199410,157975,909501,27246,23353,516722,100377,59458,30284,18101604,17119,7101,20521,36848
"11000011000001100101",266,178,10118,2929,3238563,49567,21472,4366,2,10078,457,4182,16059,140024,823220,32796,1752,168626,86488,10608,2505,10001,59,3234,46284,496,166,244,432,89930
"01001101001010001011",2117,63340,527605,12369,81200,118274,2462,50579,10472,80137,29300,3126,254361,5248,62711,991,7025322,123678,8999,5301613,473026,408647,509576,159036,256405,36767329,46789,68148,16939,88149
"01111011011000011100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10010001010101100011",682,40879,243870,347447,2453451,41456,207076,159548,58629,882679,911,450834,1547657,44352,43670,698956,38039,4091135,473167,259988,158643,404405,39655,73442,328481,11924,907,31648,227375,129447
"01110000101100011100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01110000000100000111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10010101100110110111",405,756,223326,18638,302165,1445,3879,16835,745,170251,1376,14209,180942,8592,1448,383493,7584,14799,790425,384,20,9517,56935,1586,3854609,1552,18,4595,28459,30760
"01000110101001110110",891356,10289,6060,47747,78504,603937,317471,705400,939,3503,893278,376620,141372,447955,63446,14994,159097,137924,178978,4154,179267,319287,46528,483062,1577,61980,11680,575102,131666,39652
"10100010110011110001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00011010000100011110",7,43449,12374,171,35775,2741,2847,19,1989,1481419,30,902,79,2057,3279,13740,9213,377,65438879,1167,4,1337,20,19942,240283,7084,1,7882,3956,36760
"00000010000001000001",98,506,563,7847,201085,19947,6354,122,17,49009,136,152,3865,41012,11770,1082,7459,69809,292416,8346,3031,55183,51,12780,1043109,2566,573,51,944,14793
"01100011111101010110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10101100000010010110",325,1362,39203,123819,749439,132,1277,569,35398,176697,839,25966,506,110324,549,72658,8609,8446,517649,3,43,484,21221,7463,450,1164,6840,331,1387,3927482
"10001011101110110010",6018,4198,284438,26386,454241,87740,88495,16633,2745,54644,31310,118077,260197,27216,60028,489995,4156838,1027942,44694,2883,1550,321,8780,10537882,890224,63396,13223,23874,67516,1690257
"01001001101000001001",4477,36164,94218,6979,7955,191849,38838,517951,172,4699,91038,1159,292008,26963,614211,31394,9460136,48775,2325,4045012,1706042,509792,9747,17816,3786747,41034230,143020,2090,287743,16757
"00110100001010000000",647999,10034,50614,3195466,7931,4286,25417,120017,12631,75887,8760,181725,298631,1470460,17811,928,308777,835183,53955,6466,1546,11827,1412803,143743,13580,116853,2204421,7364,1462472,519306
"10010001010110010000",3755,13028,24858034,277931,116733,5947,34985,6032,57037,691318,10152,6388588,1666722,196641,33243,83225,204963,614592,4195152,2835,1153,2653,228602,116626,382559,1262,82339,1659,510940,614890
"01101100001001000001",139124,116339,12583,469357,7707,24678,20580,485795,15135,62417,23959,6126,75422,1050605,51070,1704,1560805,945178,3767,72275,1180557,544014,193065,98663,2410,2507878,20547638,2016,17299,93468
"01011111110101011011",6438,18493656,20994,10461,1741,642499,13889,18448,430466,489407,1631143,8897,1147305,2142,77879,19313,835520,1804,683984,22068325,2672027,167579,90037,323742,3919472,381095,106,3160394,8811,2318
"11101011101010111101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00010000101101111110",144097,30784,15284,20044,41043,94116,2541316,92537,39557,18891,840,105608,17672,331379,31550,757453,44261,99240,530781,9142,4304,390254,27107,183458,21641,391621,1361,336361,2149066,22187
"01001100110000111011",1694,3501394,60545,7696,5320,2487469,369,415997,11538,84815,6483785,1459,820126,2273,44490,15036,940409,240,77764,238028,22859098,549398,117786,4456,213409,239577,6176,422180,304092,9521
"00110010100000110001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01100110101100010111",32344,84338,56161,18261,1078,26026,40565,177188,16965,37775,1517795,88456,13701,63007,3507,2559,570390,129474,1516676,3025,4308,567768,137220,447552,139146,4472718,81289,21013,538527,4068
"11100111110010010011",16513,87751,81794,336277,31970,280954,3448,94762,39870,7894,147907156,581220,2761016,50968,24555,9493,407428,38775,165804,35218,265558,2866,4737682,262926,303219,24492,146172,23515,40132,252288
"11110111000001100100",13628,3824,3524,66385,73841,4987,85127,16307,32,19129,1142,39541,37021,856856,2885587,18887,224,90497,190181,3273,353,325,762,3463,1034,106,65,5658,584,230043
"10110100010110010100",331945,71348,2883291,4554707,17899,648,21456,10137,4372772,2931042,59620,13105697,92737,767151,6066,58791,25562,55246,4059125,103,488,8535,1415071,58644,3132,1003,245277,14212,1452065,412589
"10011000111010001010",46056,514317,1804,2830227,2130543,21727,119316,36799,49153,6514,30292,115159,134689,5013,5277,143959,545946,2563,27849,83162,18574,3281,20963,86690,336012,719295,16580,314076,313166,3067152
